sectionId,courseId,termId,instructor,location,days,start,end,capacity,enrolled,linkedWith
BUS-101-01,BUS-101,spring-2026,Harper Mills,Founders 110,MWF,09:00,09:50,60,55,
BUS-201-01,BUS-201,spring-2026,Ashley Chen,Founders 212,TR,10:00,11:15,40,37,
BUS-210-01,BUS-210,spring-2026,Rafael Ortiz,Innovation 120,TR,13:30,14:45,35,33,
BUS-230-01,BUS-230,spring-2026,Nia Grant,Analytics Lab,MW,15:00,16:15,28,27,
BUS-320-01,BUS-320,spring-2026,Kim Patel,Boardroom 201,TR,09:00,10:15,30,28,
BUS-350-01,BUS-350,spring-2026,Elliot Sato,Venture Studio,F,10:00,12:00,20,18,
CS-101-01,CS-101,spring-2026,Maria Gallagher,Tech 101,MWF,10:00,10:50,60,58,
CS-120-01,CS-120,spring-2026,Devon Price,Tech 210,TR,11:30,12:45,45,44,
CS-230-01,CS-230,spring-2026,Olivia Shaw,Tech 305,MW,14:00,15:15,40,38,
CS-240-01,CS-240,spring-2026,Imran Siddiq,Tech 220,TR,08:30,09:45,35,34,
CS-260-01,CS-260,spring-2026,Jae Kim,Innovation 220,TR,16:00,17:15,30,27,
CS-260-02,CS-260,spring-2026,Jae Kim,Innovation 220,MW,18:00,19:15,25,23,
BIO-101-01,BIO-101,spring-2026,Lauren Blake,Science 110,MWF,08:00,08:50,72,68,
BIO-110-01,BIO-110,spring-2026,Colin Rivera,Science 220,TR,09:30,10:45,48,44,
BIO-201-01,BIO-201,spring-2026,Tanya Brooks,Science 320,MW,11:00,12:15,32,30,BIO-201L-01
BIO-201L-01,BIO-201L,spring-2026,Tanya Brooks,Science Lab 410,R,13:00,15:50,16,16,BIO-201-01
BIO-210-01,BIO-210,spring-2026,Grace Ibarra,Science 305,TR,12:30,13:45,30,29,
BIO-240-01,BIO-240,spring-2026,Marcus Hale,Field Station,F,09:00,11:50,20,18,
PSY-101-01,PSY-101,spring-2026,Heather Long,Humanities 120,MWF,11:00,11:50,80,75,
PSY-150-01,PSY-150,spring-2026,Sasha Ahmed,Humanities 210,TR,08:30,09:45,40,37,
PSY-210-01,PSY-210,spring-2026,Omar Lewis,Humanities 215,TR,14:00,15:15,35,34,
PSY-220-01,PSY-220,spring-2026,Lena Tran,Humanities 310,MW,13:00,14:15,28,25,
PSY-260-01,PSY-260,spring-2026,Bethany Cole,Humanities 318,TR,16:00,17:15,30,28,
PSY-270-01,PSY-270,spring-2026,Victor Phelps,Wellness Center 102,W,18:00,20:45,20,19,
COM-101-01,COM-101,spring-2026,Jamal Rivera,Media 101,MWF,09:00,09:50,60,54,
COM-110-01,COM-110,spring-2026,Allison Park,Media 210,TR,10:00,11:15,40,38,
COM-140-01,COM-140,spring-2026,Quinn Lopez,Media Studio A,MW,12:00,13:15,24,22,
COM-220-01,COM-220,spring-2026,Elena Stone,Media Lab 220,TR,13:00,14:15,24,21,
COM-230-01,COM-230,spring-2026,Peter Vaughn,Media 305,MW,15:30,16:45,30,27,
COM-270-01,COM-270,spring-2026,Naomi Clarke,Media Strategy Lab,TR,18:00,19:45,20,18,
